fecha,Estacion,Fecha final,NO2,CO,PM2.5,PM10,SO2,datos_disponibles
2023-06-03,FACATATIVA - URBANO,,,,9.32458333,22.41125,,2
2023-06-04,FACATATIVA - URBANO,,,,8.34,18.51833333,,2
2023-06-05,FACATATIVA - URBANO,,,,7.45083333,14.86375,,2
2023-06-06,FACATATIVA - URBANO,,,,5.73083333,15.58416667,,2
2023-06-07,FACATATIVA - URBANO,,,,8.435,23.35875,,2
2023-06-08,FACATATIVA - URBANO,,,,8.55958333,22.695,,2
2023-06-09,FACATATIVA - URBANO,,,,8.83347826,25.00043478,,2
2023-06-10,FACATATIVA - URBANO,,,,10.65083333,22.885,,2
2023-06-11,FACATATIVA - URBANO,,,,6.915,13.81041667,,2
2023-06-12,FACATATIVA - URBANO,,,,4.07375,10.7825,,2
2023-06-13,FACATATIVA - URBANO,,,,6.745,19.73041667,,2
2023-06-14,FACATATIVA - URBANO,,,,7.06208333,19.66625,,2
2023-06-15,FACATATIVA - URBANO,,,,4.97833333,12.55583333,,2
2023-06-16,FACATATIVA - URBANO,,,,9.40666667,17.29083333,,2
2023-06-17,FACATATIVA - URBANO,,,,6.49625,16.87375,,2
2023-06-18,FACATATIVA - URBANO,,,,3.96125,10.12875,,2
2023-06-19,FACATATIVA - URBANO,,,,4.68625,9.1,,2
2023-06-20,FACATATIVA - URBANO,,,,5.51958333,16.2775,,2
2023-06-21,FACATATIVA - URBANO,,,,6.69791667,17.43,,2
2023-06-22,FACATATIVA - URBANO,,,,8.00875,19.06958333,,2
2023-06-23,FACATATIVA - URBANO,,,,9.98083333,24.1225,,2
2023-06-24,FACATATIVA - URBANO,,,,8.31041667,17.55875,,2
2023-06-25,FACATATIVA - URBANO,,,,4.24478261,9.0925,,2
2023-06-26,FACATATIVA - URBANO,,,,6.36208333,14.60791667,,2
2023-06-27,FACATATIVA - URBANO,,,,7.89833333,17.59416667,,2
2023-06-28,FACATATIVA - URBANO,,,,12.70541667,25.17083333,,2
2023-06-29,FACATATIVA - URBANO,,,,7.12125,20.5575,,2
2023-06-30,FACATATIVA - URBANO,,,,5.23708333,16.98458333,,2
2023-07-01,FACATATIVA - URBANO,,,,6.14833333,16.9125,,2
2023-07-02,FACATATIVA - URBANO,,,,7.58708333,14.3725,,2
2023-07-03,FACATATIVA - URBANO,,,,7.5375,13.75125,,2
2023-07-04,FACATATIVA - URBANO,,,,10.38,22.00875,,2
2023-07-05,FACATATIVA - URBANO,,,,11.1075,24.36916667,,2
2023-07-06,FACATATIVA - URBANO,,,,9.13708333,20.87,,2
2023-07-07,FACATATIVA - URBANO,,,,8.51625,19.71416667,,2
2023-07-08,FACATATIVA - URBANO,,,,7.41625,12.99541667,,2
2023-07-09,FACATATIVA - URBANO,,,,4.84458333,12.98916667,,2
2023-07-10,FACATATIVA - URBANO,,,,7.20291667,18.88666667,,2
2023-07-11,FACATATIVA - URBANO,,,,6.38875,17.20291667,,2
2023-07-12,FACATATIVA - URBANO,,,,8.7975,21.76208333,,2
2023-07-13,FACATATIVA - URBANO,,,,6.16913043,16.4626087,,2
2023-07-14,FACATATIVA - URBANO,,,,8.00166667,17.60875,,2
2023-07-15,FACATATIVA - URBANO,,,,7.31833333,18.95958333,,2
2023-07-16,FACATATIVA - URBANO,,,,5.81416667,13.29041667,,2
2023-07-17,FACATATIVA - URBANO,,,,6.63875,17.27875,,2
2023-07-18,FACATATIVA - URBANO,,,,7.92208333,23.71,,2
2023-07-19,FACATATIVA - URBANO,,,,7.60375,25.11833333,,2
2023-07-20,FACATATIVA - URBANO,,,,5.68375,16.7275,,2
2023-07-21,FACATATIVA - URBANO,,,,7.29541667,19.3575,,2
2023-07-22,FACATATIVA - URBANO,,,,7.35041667,19.7725,,2
2023-07-23,FACATATIVA - URBANO,,,,7.12541667,13.4475,,2
2023-07-24,FACATATIVA - URBANO,,,,10.14625,23.55,,2
2023-07-25,FACATATIVA - URBANO,,,,9.10375,23.52458333,,2
2023-07-26,FACATATIVA - URBANO,,,,13.78458333,26.11625,,2
2023-07-27,FACATATIVA - URBANO,,,,8.30625,19.24583333,,2
2023-07-28,FACATATIVA - URBANO,,,,12.82666667,33.30666667,,2
2023-07-29,FACATATIVA - URBANO,,,,7.40083333,23.2325,,2
2023-07-30,FACATATIVA - URBANO,,,,6.28458333,13.16291667,,2
2023-07-31,FACATATIVA - URBANO,,,,9.46041667,24.10833333,,2
2023-08-01,FACATATIVA - URBANO,,,,7.73208333,19.73875,,2
2023-08-02,FACATATIVA - URBANO,,,,10.60208333,24.78583333,,2
2023-08-03,FACATATIVA - URBANO,,,,9.6425,18.73708333,,2
2023-08-04,FACATATIVA - URBANO,,,,11.29583333,28.87333333,,2
2023-08-05,FACATATIVA - URBANO,,,,13.315,28.80041667,,2
2023-08-06,FACATATIVA - URBANO,,,,6.38541667,13.62541667,,2
2023-08-07,FACATATIVA - URBANO,,,,6.44333333,14.39041667,,2
2023-08-08,FACATATIVA - URBANO,,,,10.19583333,27.20166667,,2
2023-08-09,FACATATIVA - URBANO,,,,12.77333333,28.71916667,,2
2023-08-10,FACATATIVA - URBANO,,,,16.62416667,36.74125,,2
2023-08-11,FACATATIVA - URBANO,,,,7.49125,16.75291667,,2
2023-08-12,FACATATIVA - URBANO,,,,8.87625,21.26833333,,2
2023-08-13,FACATATIVA - URBANO,,,,5.26708333,12.33375,,2
2023-08-14,FACATATIVA - URBANO,,,,11.10583333,25.45541667,,2
2023-08-15,FACATATIVA - URBANO,,,,6.80666667,15.7125,,2
2023-08-16,FACATATIVA - URBANO,,,,11.69541667,26.18166667,,2
2023-08-17,FACATATIVA - URBANO,,,,10.5775,23.93875,,2
2023-08-18,FACATATIVA - URBANO,,,,15.28652174,32.77130435,,2
2023-08-19,FACATATIVA - URBANO,,,,13.69875,25.99083333,,2
2023-08-20,FACATATIVA - URBANO,,,,9.25666667,16.05666667,,2
2023-08-21,FACATATIVA - URBANO,,,,7.46041667,12.34791667,,2
2023-08-22,FACATATIVA - URBANO,,,,8.13,19.36416667,,2
2023-08-23,FACATATIVA - URBANO,,,,9.6375,21.31,,2
2023-08-24,FACATATIVA - URBANO,,,,11.07541667,21.35583333,,2
2023-08-25,FACATATIVA - URBANO,,,,13.23791667,29.39083333,,2
2023-08-26,FACATATIVA - URBANO,,,,13.72,29.035,,2
2023-08-27,FACATATIVA - URBANO,,,,9.5525,18.56125,,2
2023-08-28,FACATATIVA - URBANO,,,,11.97916667,27.5525,,2
2023-08-29,FACATATIVA - URBANO,,,,11.76625,29.02416667,,2
2023-08-30,FACATATIVA - URBANO,,,,11.61333333,31.19833333,,2
2023-08-31,FACATATIVA - URBANO,,,,13.2325,33.805,,2
2023-09-01,FACATATIVA - URBANO,,,,16.73458333,34.69625,,2
2023-09-02,FACATATIVA - URBANO,,,,14.35458333,30.41833333,,2
2023-09-03,FACATATIVA - URBANO,,,,13.66,22.1575,,2
2023-09-04,FACATATIVA - URBANO,,,,9.70958333,22.11208333,,2
2023-09-05,FACATATIVA - URBANO,,,,8.8126087,22.14956522,,2
2023-09-06,FACATATIVA - URBANO,,,,11.93958333,28.59416667,,2
2023-09-07,FACATATIVA - URBANO,,,,11.96375,27.46666667,,2
2023-09-08,FACATATIVA - URBANO,,,,11.91458333,31.35208333,,2
2023-09-09,FACATATIVA - URBANO,,,,11.82666667,27.20583333,,2
2023-09-10,FACATATIVA - URBANO,,,,11.30958333,17.86,,2
2023-09-11,FACATATIVA - URBANO,,,,7.43208333,16.66583333,,2
2023-09-12,FACATATIVA - URBANO,,,,11.97333333,26.67875,,2
2023-09-13,FACATATIVA - URBANO,,,,11.51,24.11125,,2
2023-09-14,FACATATIVA - URBANO,,,,10.10916667,23.74541667,,2
2023-09-15,FACATATIVA - URBANO,,,,9.01666667,22.58791667,,2
2023-09-16,FACATATIVA - URBANO,,,,11.49458333,23.90041667,,2
2023-09-17,FACATATIVA - URBANO,,,,7.61,14.82583333,,2
2023-09-18,FACATATIVA - URBANO,,,,12.74041667,28.39583333,,2
2023-09-19,FACATATIVA - URBANO,,,,12.01875,30.18291667,,2
2023-09-20,FACATATIVA - URBANO,,,,13.48583333,31.60333333,,2
2023-09-21,FACATATIVA - URBANO,,,,12.48111111,25.33666667,,2
2023-09-25,FACATATIVA - URBANO,,,,7.676875,18.815625,,2
2023-09-26,FACATATIVA - URBANO,,,,11.91875,27.09333333,,2
