"Estacion","Fecha inicial","Fecha final","SO2"
"FACATATIVA - URBANO","2025-05-29","","6.38875"
"FACATATIVA - URBANO","2025-05-28","","6.06875"
"FACATATIVA - URBANO","2025-05-27","","7.005"
"FACATATIVA - URBANO","2025-05-26","","6.12090909"
"FACATATIVA - URBANO","2025-05-25","","4.38375"
"FACATATIVA - URBANO","2025-05-24","","4.34541667"
"FACATATIVA - URBANO","2025-05-23","","5.13125"
"FACATATIVA - URBANO","2025-05-22","","5.22708333"
"FACATATIVA - URBANO","2025-05-21","","5.18041667"
"FACATATIVA - URBANO","2025-05-20","","5.92541667"
"FACATATIVA - URBANO","2025-05-19","","5.9825"
"FACATATIVA - URBANO","2025-05-18","","5.94708333"
"FACATATIVA - URBANO","2025-05-17","","5.87333333"
"FACATATIVA - URBANO","2025-05-16","","6.17347826"
"FACATATIVA - URBANO","2025-05-15","","6.36521739"
"FACATATIVA - URBANO","2025-05-14","","6.96333333"
"FACATATIVA - URBANO","2025-05-13","","2.46041667"
"FACATATIVA - URBANO","2025-05-12","","5.90380952"
"FACATATIVA - URBANO","2025-05-11","","6.46916667"
"FACATATIVA - URBANO","2025-05-10","","6.3325"
"FACATATIVA - URBANO","2025-05-09","","6.335"
"FACATATIVA - URBANO","2025-05-08","","6.18416667"
"FACATATIVA - URBANO","2025-05-07","","6.0175"
"FACATATIVA - URBANO","2025-05-06","","6.21375"
"FACATATIVA - URBANO","2025-05-05","","5.95666667"
"FACATATIVA - URBANO","2025-05-04","","5.91208333"
"FACATATIVA - URBANO","2025-05-03","","5.69333333"
"FACATATIVA - URBANO","2025-05-02","","5.69458333"
"FACATATIVA - URBANO","2025-05-01","","5.59125"
"FACATATIVA - URBANO","2025-04-30","","5.39791667"
"FACATATIVA - URBANO","2025-04-29","","8.8305"
"FACATATIVA - URBANO","2025-04-28","","3.98208333"
"FACATATIVA - URBANO","2025-04-27","","5.0175"
"FACATATIVA - URBANO","2025-04-26","","4.41708333"
"FACATATIVA - URBANO","2025-04-25","","4.26791667"
"FACATATIVA - URBANO","2025-04-24","","2.67833333"
"FACATATIVA - URBANO","2025-04-23","","4.38375"
"FACATATIVA - URBANO","2025-04-22","","4.61166667"
"FACATATIVA - URBANO","2025-04-21","","4.10291667"
"FACATATIVA - URBANO","2025-04-20","","4.41916667"
"FACATATIVA - URBANO","2025-04-19","","5.65173913"
"FACATATIVA - URBANO","2025-04-18","","4.77708333"
"FACATATIVA - URBANO","2025-04-17","","9.290625"
"FACATATIVA - URBANO","2025-04-16","","4.606875"
"FACATATIVA - URBANO","2025-04-15","","4.30375"
"FACATATIVA - URBANO","2025-04-14","","4.07590909"
"FACATATIVA - URBANO","2025-04-13","","4.38291667"
"FACATATIVA - URBANO","2025-04-12","","4.17375"
"FACATATIVA - URBANO","2025-04-11","","4.63"
"FACATATIVA - URBANO","2025-04-10","","3.88695652"
"FACATATIVA - URBANO","2025-04-09","","4.72916667"
"FACATATIVA - URBANO","2025-04-08","","4.25375"
"FACATATIVA - URBANO","2025-04-07","","5.10375"
"FACATATIVA - URBANO","2025-04-06","","4.15166667"
"FACATATIVA - URBANO","2025-04-05","","4.58708333"
"FACATATIVA - URBANO","2025-04-04","","4.22125"
"FACATATIVA - URBANO","2025-04-03","","5.33833333"
"FACATATIVA - URBANO","2025-04-02","","4.91916667"
"FACATATIVA - URBANO","2025-04-01","","5.45791667"
"FACATATIVA - URBANO","2025-03-31","","4.61291667"
"FACATATIVA - URBANO","2025-03-30","","4.05"
"FACATATIVA - URBANO","2025-03-29","","4.81208333"
"FACATATIVA - URBANO","2025-03-28","","4.96904762"
"FACATATIVA - URBANO","2025-03-27","","4.34375"
"FACATATIVA - URBANO","2025-03-26","","5.03083333"
"FACATATIVA - URBANO","2025-03-25","","4.53125"
"FACATATIVA - URBANO","2025-03-24","","5.04625"
"FACATATIVA - URBANO","2025-03-23","","4.865"
"FACATATIVA - URBANO","2025-03-22","","5.27708333"
"FACATATIVA - URBANO","2025-03-21","","4.61333333"
"FACATATIVA - URBANO","2025-03-20","","4.61458333"
"FACATATIVA - URBANO","2025-03-19","","5.18083333"
"FACATATIVA - URBANO","2025-03-18","","4.63916667"
"FACATATIVA - URBANO","2025-03-17","","4.15625"
"FACATATIVA - URBANO","2025-03-16","","4.49125"
"FACATATIVA - URBANO","2025-03-15","","4.57625"
"FACATATIVA - URBANO","2025-03-14","","4.64166667"
"FACATATIVA - URBANO","2025-03-13","","4.56333333"
"FACATATIVA - URBANO","2025-03-12","","4.17375"
"FACATATIVA - URBANO","2025-03-11","","6.12916667"
"FACATATIVA - URBANO","2025-03-10","","9.31833333"
"FACATATIVA - URBANO","2025-03-09","","4.83875"
"FACATATIVA - URBANO","2025-03-08","","3.99916667"
"FACATATIVA - URBANO","2025-03-07","","4.39916667"
"FACATATIVA - URBANO","2025-03-06","","4.67956522"
"FACATATIVA - URBANO","2025-03-05","","0.93947368"
"FACATATIVA - URBANO","2025-03-04","","2.14130435"
"FACATATIVA - URBANO","2025-03-03","","3.3675"
