"Estacion","Fecha inicial","Fecha final","NO2"
"FACATATIVA - URBANO","2024-12-05","","39.30291667"
"FACATATIVA - URBANO","2024-12-04","","38.65166667"
"FACATATIVA - URBANO","2024-12-03","","38.57791667"
"FACATATIVA - URBANO","2024-12-02","","32.015"
"FACATATIVA - URBANO","2024-12-01","","31.83125"
"FACATATIVA - URBANO","2024-11-30","","38.37791667"
"FACATATIVA - URBANO","2024-11-29","","34.98125"
"FACATATIVA - URBANO","2024-11-28","","32.41916667"
"FACATATIVA - URBANO","2024-11-27","","38.36333333"
"FACATATIVA - URBANO","2024-11-26","","32.0726087"
"FACATATIVA - URBANO","2024-11-25","","32.14833333"
"FACATATIVA - URBANO","2024-11-24","","33.4695"
"FACATATIVA - URBANO","2024-11-23","","40.58541667"
"FACATATIVA - URBANO","2024-11-22","","40.10833333"
"FACATATIVA - URBANO","2024-11-21","","41.03625"
"FACATATIVA - URBANO","2024-11-20","","40.02125"
"FACATATIVA - URBANO","2024-11-19","","39.19291667"
"FACATATIVA - URBANO","2024-11-18","","31.51363636"
"FACATATIVA - URBANO","2024-11-17","","29.05583333"
"FACATATIVA - URBANO","2024-11-16","","33.3425"
"FACATATIVA - URBANO","2024-11-15","","35.90041667"
"FACATATIVA - URBANO","2024-11-14","","34.08625"
"FACATATIVA - URBANO","2024-11-13","","31.65208333"
"FACATATIVA - URBANO","2024-11-12","","26.90458333"
"FACATATIVA - URBANO","2024-11-11","","35.34291667"
"FACATATIVA - URBANO","2024-11-10","","32.49208333"
"FACATATIVA - URBANO","2024-11-09","","36.88166667"
"FACATATIVA - URBANO","2024-11-08","","35.59708333"
"FACATATIVA - URBANO","2024-11-07","","38.955"
"FACATATIVA - URBANO","2024-11-06","","37.24541667"
"FACATATIVA - URBANO","2024-11-05","","33.3875"
"FACATATIVA - URBANO","2024-11-04","","33.035"
"FACATATIVA - URBANO","2024-11-03","","35.3325"
"FACATATIVA - URBANO","2024-11-02","","39.77125"
"FACATATIVA - URBANO","2024-11-01","","41.255"
"FACATATIVA - URBANO","2024-10-31","","40.97875"
"FACATATIVA - URBANO","2024-10-30","","42.09916667"
"FACATATIVA - URBANO","2024-10-29","","38.47541667"
"FACATATIVA - URBANO","2024-10-28","","40.44541667"
"FACATATIVA - URBANO","2024-10-27","","34.35666667"
"FACATATIVA - URBANO","2024-10-26","","31.77208333"
"FACATATIVA - URBANO","2024-10-25","","40.05"
"FACATATIVA - URBANO","2024-10-24","","35.65875"
"FACATATIVA - URBANO","2024-10-23","","43.465"
"FACATATIVA - URBANO","2024-10-22","","44.85083333"
"FACATATIVA - URBANO","2024-10-21","","44.27291667"
"FACATATIVA - URBANO","2024-10-20","","42.68958333"
"FACATATIVA - URBANO","2024-10-19","","46.40083333"
"FACATATIVA - URBANO","2024-10-18","","42.30291667"
"FACATATIVA - URBANO","2024-10-17","","43.41166667"
"FACATATIVA - URBANO","2024-10-16","","43.33083333"
"FACATATIVA - URBANO","2024-10-15","","43.35708333"
"FACATATIVA - URBANO","2024-10-14","","37.38416667"
"FACATATIVA - URBANO","2024-10-13","","34.98416667"
"FACATATIVA - URBANO","2024-10-12","","32.90041667"
"FACATATIVA - URBANO","2024-10-11","","31.99208333"
"FACATATIVA - URBANO","2024-10-10","","37.00875"
"FACATATIVA - URBANO","2024-10-09","","40.14458333"
"FACATATIVA - URBANO","2024-10-08","","36.8325"
"FACATATIVA - URBANO","2024-10-07","","43.105"
"FACATATIVA - URBANO","2024-10-06","","39.26625"
"FACATATIVA - URBANO","2024-10-05","","43.76541667"
"FACATATIVA - URBANO","2024-10-04","","43.33375"
"FACATATIVA - URBANO","2024-10-03","","41.54416667"
"FACATATIVA - URBANO","2024-10-02","","39.755"
"FACATATIVA - URBANO","2024-10-01","","43.12625"
"FACATATIVA - URBANO","2024-09-30","","43.84458333"
"FACATATIVA - URBANO","2024-09-29","","39.18041667"
