"Estacion","Fecha inicial","Fecha final","CO"
"FACATATIVA - URBANO","2025-04-11","","554.37083333"
"FACATATIVA - URBANO","2025-04-10","","480.42291667"
"FACATATIVA - URBANO","2025-04-09","","379.28125"
"FACATATIVA - URBANO","2025-04-08","","398.84166667"
"FACATATIVA - URBANO","2025-04-07","","395.025"
"FACATATIVA - URBANO","2025-04-06","","240.94782609"
"FACATATIVA - URBANO","2025-04-05","","481.85416667"
"FACATATIVA - URBANO","2025-04-04","","151.7125"
"FACATATIVA - URBANO","2025-04-03","","296.70434783"
"FACATATIVA - URBANO","2025-04-02","","288.15833333"
"FACATATIVA - URBANO","2025-04-01","","229.0"
"FACATATIVA - URBANO","2025-03-31","","371.17083333"
"FACATATIVA - URBANO","2025-03-30","","342.54583333"
"FACATATIVA - URBANO","2025-03-29","","338.72916667"
"FACATATIVA - URBANO","2025-03-28","","829.37826087"
"FACATATIVA - URBANO","2025-03-27","","1328.2"
"FACATATIVA - URBANO","2025-03-26","","1288.125"
"FACATATIVA - URBANO","2025-03-25","","1344.89791667"
"FACATATIVA - URBANO","2025-03-24","","982.31458333"
"FACATATIVA - URBANO","2025-03-23","","774.30625"
"FACATATIVA - URBANO","2025-03-22","","668.87083333"
"FACATATIVA - URBANO","2025-03-21","","718.96458333"
"FACATATIVA - URBANO","2025-03-20","","448.04347826"
"FACATATIVA - URBANO","2025-03-19","","192.04772727"
"FACATATIVA - URBANO","2025-03-18","","193.69583333"
"FACATATIVA - URBANO","2025-03-17","","215.16458333"
"FACATATIVA - URBANO","2025-03-16","","175.7326087"
"FACATATIVA - URBANO","2025-03-15","","165.54791667"
"FACATATIVA - URBANO","2025-03-14","","167.06590909"
"FACATATIVA - URBANO","2025-03-13","","177.475"
"FACATATIVA - URBANO","2025-03-12","","320.12291667"
"FACATATIVA - URBANO","2025-03-11","","265.25833333"
"FACATATIVA - URBANO","2025-03-10","","442.93421053"
"FACATATIVA - URBANO","2025-03-09","","347.31666667"
"FACATATIVA - URBANO","2025-03-08","","276.23125"
"FACATATIVA - URBANO","2025-03-07","","233.48043478"
"FACATATIVA - URBANO","2025-03-06","","179.03636364"
"FACATATIVA - URBANO","2025-03-05","","236.28636364"
"FACATATIVA - URBANO","2025-03-04","","230.90833333"
"FACATATIVA - URBANO","2025-03-03","","423.65"
"FACATATIVA - URBANO","2025-03-02","","152.49318182"
"FACATATIVA - URBANO","2025-03-01","","186.25333333"
"FACATATIVA - URBANO","2025-02-28","","297.7"
"FACATATIVA - URBANO","2025-02-27","","328.00882353"
"FACATATIVA - URBANO","2025-02-26","","960.16428571"
"FACATATIVA - URBANO","2025-02-25","","984.7"
"FACATATIVA - URBANO","2025-02-24","","836.89090909"
"FACATATIVA - URBANO","2025-02-23","","770.67307692"
"FACATATIVA - URBANO","2025-02-22","","741.70555556"
"FACATATIVA - URBANO","2025-02-21","","759.22307692"
"FACATATIVA - URBANO","2025-02-20","","722.23076923"
"FACATATIVA - URBANO","2025-02-19","","609.7125"
"FACATATIVA - URBANO","2025-02-18","","647.44545455"
"FACATATIVA - URBANO","2025-02-17","","397.8875"
"FACATATIVA - URBANO","2025-02-16","","392.1625"
"FACATATIVA - URBANO","2025-02-15","","468.49583333"
"FACATATIVA - URBANO","2025-02-14","","539.19090909"
"FACATATIVA - URBANO","2025-02-13","","551.89"
"FACATATIVA - URBANO","2025-02-12","","405.15384615"
"FACATATIVA - URBANO","2025-02-11","","287.52222222"
"FACATATIVA - URBANO","2025-02-10","","286.007"
"FACATATIVA - URBANO","2025-02-09","","295.91823529"
"FACATATIVA - URBANO","2025-02-08","","337.77833333"
"FACATATIVA - URBANO","2025-02-07","","453.365"
"FACATATIVA - URBANO","2025-02-06","","409.14625"
"FACATATIVA - URBANO","2025-02-05","","393.39375"
"FACATATIVA - URBANO","2025-02-04","","403.20875"
"FACATATIVA - URBANO","2025-02-03","","559.75708333"
"FACATATIVA - URBANO","2025-02-02","","550.29791667"
"FACATATIVA - URBANO","2025-02-01","","472.61791667"
"FACATATIVA - URBANO","2025-01-31","","328.27541667"
"FACATATIVA - URBANO","2025-01-30","","344.03304348"
"FACATATIVA - URBANO","2025-01-29","","1245.31608696"
"FACATATIVA - URBANO","2025-01-28","","1181.57541667"
"FACATATIVA - URBANO","2025-01-27","","895.88208333"
"FACATATIVA - URBANO","2025-01-26","","646.94208333"
"FACATATIVA - URBANO","2025-01-25","","896.06875"
"FACATATIVA - URBANO","2025-01-24","","1422.28708333"
"FACATATIVA - URBANO","2025-01-23","","1627.42041667"
"FACATATIVA - URBANO","2025-01-22","","1384.53458333"
"FACATATIVA - URBANO","2025-01-21","","1302.68625"
"FACATATIVA - URBANO","2025-01-20","","1230.97208333"
"FACATATIVA - URBANO","2025-01-19","","1031.38916667"
"FACATATIVA - URBANO","2025-01-18","","1028.21434783"
"FACATATIVA - URBANO","2025-01-17","","1029.85545455"
"FACATATIVA - URBANO","2025-01-16","","859.36090909"
"FACATATIVA - URBANO","2025-01-15","","746.24125"
"FACATATIVA - URBANO","2025-01-14","","743.84916667"
"FACATATIVA - URBANO","2025-01-13","","946.14375"
"FACATATIVA - URBANO","2025-01-12","","825.71208333"
"FACATATIVA - URBANO","2025-01-11","","832.14666667"
"FACATATIVA - URBANO","2025-01-10","","621.7125"
"FACATATIVA - URBANO","2025-01-09","","598.75416667"
"FACATATIVA - URBANO","2025-01-08","","606.58125"
"FACATATIVA - URBANO","2025-01-07","","679.18666667"
"FACATATIVA - URBANO","2025-01-06","","1015.385"
"FACATATIVA - URBANO","2025-01-05","","987.28458333"
"FACATATIVA - URBANO","2025-01-04","","853.1975"
"FACATATIVA - URBANO","2025-01-03","","634.64958333"
"FACATATIVA - URBANO","2025-01-02","","655.29625"
"FACATATIVA - URBANO","2025-01-01","","727.63"
"FACATATIVA - URBANO","2024-12-30","","324.702"
"FACATATIVA - URBANO","2024-12-29","","385.01583333"
"FACATATIVA - URBANO","2024-12-28","","433.83083333"
"FACATATIVA - URBANO","2024-12-27","","576.63954545"
"FACATATIVA - URBANO","2024-12-26","","930.02875"
"FACATATIVA - URBANO","2024-12-25","","742.15166667"
"FACATATIVA - URBANO","2024-12-24","","1169.03375"
"FACATATIVA - URBANO","2024-12-23","","1066.21791667"
"FACATATIVA - URBANO","2024-12-22","","1263.46333333"
