"Estacion","Fecha inicial","Fecha final","PM2.5"
"FACATATIVA - URBANO","2025-02-25","","15.99333333"
"FACATATIVA - URBANO","2025-02-24","","9.48583333"
"FACATATIVA - URBANO","2025-02-23","","11.54166667"
"FACATATIVA - URBANO","2025-02-22","","13.17875"
"FACATATIVA - URBANO","2025-02-21","","16.00708333"
"FACATATIVA - URBANO","2025-02-20","","20.72833333"
"FACATATIVA - URBANO","2025-02-19","","21.055"
"FACATATIVA - URBANO","2025-02-18","","16.47791667"
"FACATATIVA - URBANO","2025-02-17","","7.75291667"
"FACATATIVA - URBANO","2025-02-16","","9.00958333"
"FACATATIVA - URBANO","2025-02-15","","11.5675"
"FACATATIVA - URBANO","2025-02-14","","14.48041667"
"FACATATIVA - URBANO","2025-02-13","","8.69958333"
"FACATATIVA - URBANO","2025-02-12","","11.57"
"FACATATIVA - URBANO","2025-02-11","","12.1925"
"FACATATIVA - URBANO","2025-02-10","","13.61208333"
"FACATATIVA - URBANO","2025-02-09","","12.30294118"
"FACATATIVA - URBANO","2025-02-08","","15.67375"
"FACATATIVA - URBANO","2025-02-07","","18.12916667"
"FACATATIVA - URBANO","2025-02-06","","15.70458333"
"FACATATIVA - URBANO","2025-02-05","","17.98208333"
"FACATATIVA - URBANO","2025-02-04","","17.35708333"
"FACATATIVA - URBANO","2025-02-03","","16.10333333"
"FACATATIVA - URBANO","2025-02-02","","18.47083333"
"FACATATIVA - URBANO","2025-02-01","","14.18958333"
"FACATATIVA - URBANO","2025-01-31","","11.55"
"FACATATIVA - URBANO","2025-01-30","","12.35043478"
"FACATATIVA - URBANO","2025-01-29","","17.60869565"
"FACATATIVA - URBANO","2025-01-28","","13.40083333"
"FACATATIVA - URBANO","2025-01-27","","13.76375"
"FACATATIVA - URBANO","2025-01-26","","6.95625"
"FACATATIVA - URBANO","2025-01-25","","12.67375"
"FACATATIVA - URBANO","2025-01-24","","20.71916667"
"FACATATIVA - URBANO","2025-01-23","","18.78458333"
"FACATATIVA - URBANO","2025-01-22","","16.34041667"
"FACATATIVA - URBANO","2025-01-21","","19.585625"
"FACATATIVA - URBANO","2025-01-20","","20.63041667"
"FACATATIVA - URBANO","2025-01-19","","17.45458333"
