"Estacion","Fecha inicial","Fecha final","PM10"
"FACATATIVA - URBANO","2025-04-17","","25.765"
"FACATATIVA - URBANO","2025-04-16","","53.403125"
"FACATATIVA - URBANO","2025-04-15","","44.44291667"
"FACATATIVA - URBANO","2025-04-14","","34.45875"
"FACATATIVA - URBANO","2025-04-13","","23.41208333"
"FACATATIVA - URBANO","2025-04-12","","23.09625"
"FACATATIVA - URBANO","2025-04-11","","20.88791667"
"FACATATIVA - URBANO","2025-04-10","","15.38416667"
"FACATATIVA - URBANO","2025-04-09","","30.53625"
"FACATATIVA - URBANO","2025-04-08","","21.22041667"
"FACATATIVA - URBANO","2025-04-07","","20.22666667"
"FACATATIVA - URBANO","2025-04-06","","10.22583333"
"FACATATIVA - URBANO","2025-04-05","","18.42333333"
"FACATATIVA - URBANO","2025-04-04","","22.81041667"
"FACATATIVA - URBANO","2025-04-03","","30.78875"
"FACATATIVA - URBANO","2025-04-02","","36.10083333"
"FACATATIVA - URBANO","2025-04-01","","32.12666667"
"FACATATIVA - URBANO","2025-03-31","","23.55541667"
"FACATATIVA - URBANO","2025-03-30","","18.50625"
"FACATATIVA - URBANO","2025-03-29","","30.48625"
"FACATATIVA - URBANO","2025-03-28","","33.76083333"
"FACATATIVA - URBANO","2025-03-27","","33.6775"
"FACATATIVA - URBANO","2025-03-26","","38.44375"
"FACATATIVA - URBANO","2025-03-25","","44.1275"
"FACATATIVA - URBANO","2025-03-24","","31.00291667"
"FACATATIVA - URBANO","2025-03-23","","27.97541667"
"FACATATIVA - URBANO","2025-03-22","","27.06416667"
"FACATATIVA - URBANO","2025-03-21","","25.55416667"
"FACATATIVA - URBANO","2025-03-20","","20.98416667"
"FACATATIVA - URBANO","2025-03-19","","29.92333333"
"FACATATIVA - URBANO","2025-03-18","","15.56333333"
"FACATATIVA - URBANO","2025-03-17","","20.2475"
"FACATATIVA - URBANO","2025-03-16","","17.96875"
"FACATATIVA - URBANO","2025-03-15","","25.58791667"
"FACATATIVA - URBANO","2025-03-14","","20.64625"
"FACATATIVA - URBANO","2025-03-13","","35.75375"
"FACATATIVA - URBANO","2025-03-12","","16.91208333"
"FACATATIVA - URBANO","2025-03-11","","36.48291667"
"FACATATIVA - URBANO","2025-03-10","","37.97368421"
"FACATATIVA - URBANO","2025-03-09","","23.74458333"
"FACATATIVA - URBANO","2025-03-08","","25.25208333"
"FACATATIVA - URBANO","2025-03-07","","23.11208333"
"FACATATIVA - URBANO","2025-03-06","","20.50833333"
"FACATATIVA - URBANO","2025-03-05","","23.34125"
"FACATATIVA - URBANO","2025-03-04","","30.63875"
"FACATATIVA - URBANO","2025-03-03","","29.92444444"
"FACATATIVA - URBANO","2025-03-02","","21.72818182"
"FACATATIVA - URBANO","2025-03-01","","26.50208333"
"FACATATIVA - URBANO","2025-02-28","","23.50541667"
"FACATATIVA - URBANO","2025-02-27","","32.46315789"
"FACATATIVA - URBANO","2025-02-26","","30.67526316"
"FACATATIVA - URBANO","2025-02-25","","30.71208333"
"FACATATIVA - URBANO","2025-02-24","","20.71875"
"FACATATIVA - URBANO","2025-02-23","","19.99333333"
"FACATATIVA - URBANO","2025-02-22","","27.31708333"
"FACATATIVA - URBANO","2025-02-21","","32.92458333"
"FACATATIVA - URBANO","2025-02-20","","38.60833333"
"FACATATIVA - URBANO","2025-02-19","","35.24125"
"FACATATIVA - URBANO","2025-02-18","","29.0425"
"FACATATIVA - URBANO","2025-02-17","","14.67583333"
"FACATATIVA - URBANO","2025-02-16","","16.29541667"
"FACATATIVA - URBANO","2025-02-15","","24.60041667"
"FACATATIVA - URBANO","2025-02-14","","27.13041667"
"FACATATIVA - URBANO","2025-02-13","","17.68291667"
"FACATATIVA - URBANO","2025-02-12","","21.96958333"
"FACATATIVA - URBANO","2025-02-11","","24.88916667"
"FACATATIVA - URBANO","2025-02-10","","22.01375"
"FACATATIVA - URBANO","2025-02-09","","17.47647059"
"FACATATIVA - URBANO","2025-02-08","","25.02291667"
"FACATATIVA - URBANO","2025-02-07","","31.89291667"
"FACATATIVA - URBANO","2025-02-06","","26.87916667"
"FACATATIVA - URBANO","2025-02-05","","29.50583333"
"FACATATIVA - URBANO","2025-02-04","","35.26166667"
"FACATATIVA - URBANO","2025-02-03","","35.2325"
"FACATATIVA - URBANO","2025-02-02","","33.80166667"
"FACATATIVA - URBANO","2025-02-01","","33.43708333"
"FACATATIVA - URBANO","2025-01-31","","32.39916667"
"FACATATIVA - URBANO","2025-01-30","","35.56086957"
"FACATATIVA - URBANO","2025-01-29","","45.49782609"
"FACATATIVA - URBANO","2025-01-28","","37.79291667"
"FACATATIVA - URBANO","2025-01-27","","40.72208333"
"FACATATIVA - URBANO","2025-01-26","","22.00125"
"FACATATIVA - URBANO","2025-01-25","","33.24541667"
"FACATATIVA - URBANO","2025-01-24","","49.68333333"
"FACATATIVA - URBANO","2025-01-23","","46.23375"
"FACATATIVA - URBANO","2025-01-22","","41.29916667"
"FACATATIVA - URBANO","2025-01-21","","43.466875"
"FACATATIVA - URBANO","2025-01-20","","42.1975"
"FACATATIVA - URBANO","2025-01-19","","31.17416667"
"FACATATIVA - URBANO","2025-01-18","","42.09304348"
"FACATATIVA - URBANO","2025-01-17","","37.72272727"
"FACATATIVA - URBANO","2025-01-16","","35.84363636"
"FACATATIVA - URBANO","2025-01-15","","36.02916667"
"FACATATIVA - URBANO","2025-01-14","","33.68"
"FACATATIVA - URBANO","2025-01-13","","31.90608696"
"FACATATIVA - URBANO","2025-01-12","","26.065"
"FACATATIVA - URBANO","2025-01-11","","33.08666667"
"FACATATIVA - URBANO","2025-01-10","","27.11375"
"FACATATIVA - URBANO","2025-01-09","","16.65875"
"FACATATIVA - URBANO","2025-01-08","","21.03083333"
"FACATATIVA - URBANO","2025-01-07","","16.61"
"FACATATIVA - URBANO","2025-01-06","","21.07166667"
"FACATATIVA - URBANO","2025-01-05","","20.40791667"
"FACATATIVA - URBANO","2025-01-04","","18.78125"
"FACATATIVA - URBANO","2025-01-03","","17.72708333"
"FACATATIVA - URBANO","2025-01-02","","25.66166667"
"FACATATIVA - URBANO","2025-01-01","","33.14217391"
"FACATATIVA - URBANO","2024-12-31","","26.60761905"
"FACATATIVA - URBANO","2024-12-30","","12.98125"
"FACATATIVA - URBANO","2024-12-29","","11.31583333"
"FACATATIVA - URBANO","2024-12-28","","18.17375"
"FACATATIVA - URBANO","2024-12-27","","21.33833333"
"FACATATIVA - URBANO","2024-12-26","","23.75375"
"FACATATIVA - URBANO","2024-12-25","","19.68083333"
"FACATATIVA - URBANO","2024-12-24","","27.97333333"
"FACATATIVA - URBANO","2024-12-23","","23.65291667"
"FACATATIVA - URBANO","2024-12-22","","25.90083333"
"FACATATIVA - URBANO","2024-12-21","","36.13958333"
"FACATATIVA - URBANO","2024-12-20","","44.895"
"FACATATIVA - URBANO","2024-12-19","","35.37333333"
"FACATATIVA - URBANO","2024-12-18","","30.4375"
"FACATATIVA - URBANO","2024-12-17","","37.62"
"FACATATIVA - URBANO","2024-12-16","","40.72291667"
"FACATATIVA - URBANO","2024-12-15","","35.09083333"
"FACATATIVA - URBANO","2024-12-14","","37.20041667"
"FACATATIVA - URBANO","2024-12-13","","40.84583333"
"FACATATIVA - URBANO","2024-12-12","","37.30333333"
"FACATATIVA - URBANO","2024-12-11","","39.57291667"
"FACATATIVA - URBANO","2024-12-10","","41.86041667"
"FACATATIVA - URBANO","2024-12-09","","35.60416667"
"FACATATIVA - URBANO","2024-12-08","","26.09368421"
"FACATATIVA - URBANO","2024-12-07","","25.70875"
"FACATATIVA - URBANO","2024-12-06","","26.89708333"
"FACATATIVA - URBANO","2024-12-05","","34.8925"
"FACATATIVA - URBANO","2024-12-04","","41.07125"
"FACATATIVA - URBANO","2024-12-03","","24.1375"
"FACATATIVA - URBANO","2024-12-02","","34.99708333"
"FACATATIVA - URBANO","2024-12-01","","29.13583333"
"FACATATIVA - URBANO","2024-11-30","","38.49708333"
"FACATATIVA - URBANO","2024-11-29","","36.46666667"
"FACATATIVA - URBANO","2024-11-28","","28.02125"
"FACATATIVA - URBANO","2024-11-27","","37.55333333"
"FACATATIVA - URBANO","2024-11-26","","45.895"
"FACATATIVA - URBANO","2024-11-25","","38.67041667"
"FACATATIVA - URBANO","2024-11-24","","21.898"
"FACATATIVA - URBANO","2024-11-23","","17.64083333"
"FACATATIVA - URBANO","2024-11-22","","24.17833333"
"FACATATIVA - URBANO","2024-11-21","","28.61416667"
"FACATATIVA - URBANO","2024-11-20","","25.37625"
"FACATATIVA - URBANO","2024-11-19","","18.90958333"
"FACATATIVA - URBANO","2024-11-18","","20.86130435"
"FACATATIVA - URBANO","2024-11-17","","19.56166667"
"FACATATIVA - URBANO","2024-11-16","","12.70625"
"FACATATIVA - URBANO","2024-11-15","","19.93625"
"FACATATIVA - URBANO","2024-11-14","","16.02416667"
"FACATATIVA - URBANO","2024-11-13","","11.16"
"FACATATIVA - URBANO","2024-11-12","","13.10708333"
"FACATATIVA - URBANO","2024-11-11","","15.66958333"
"FACATATIVA - URBANO","2024-11-10","","10.4525"
"FACATATIVA - URBANO","2024-11-09","","17.12916667"
"FACATATIVA - URBANO","2024-11-08","","22.57541667"
"FACATATIVA - URBANO","2024-11-07","","26.40541667"
"FACATATIVA - URBANO","2024-11-06","","24.335"
"FACATATIVA - URBANO","2024-11-05","","33.7375"
"FACATATIVA - URBANO","2024-11-04","","12.28833333"
"FACATATIVA - URBANO","2024-11-03","","14.12"
"FACATATIVA - URBANO","2024-11-02","","13.55791667"
"FACATATIVA - URBANO","2024-11-01","","23.81166667"
"FACATATIVA - URBANO","2024-10-31","","20.77083333"
"FACATATIVA - URBANO","2024-10-30","","24.67625"
"FACATATIVA - URBANO","2024-10-29","","36.17791667"
"FACATATIVA - URBANO","2024-10-28","","24.09818182"
"FACATATIVA - URBANO","2024-10-27","","11.83791667"
"FACATATIVA - URBANO","2024-10-26","","18.66791667"
"FACATATIVA - URBANO","2024-10-25","","31.34583333"
"FACATATIVA - URBANO","2024-10-24","","25.54958333"
"FACATATIVA - URBANO","2024-10-23","","21.57791667"
"FACATATIVA - URBANO","2024-10-22","","20.81958333"
"FACATATIVA - URBANO","2024-10-21","","15.71083333"
"FACATATIVA - URBANO","2024-10-20","","14.68"
"FACATATIVA - URBANO","2024-10-19","","33.26458333"
"FACATATIVA - URBANO","2024-10-18","","37.46666667"
"FACATATIVA - URBANO","2024-10-17","","35.32333333"
"FACATATIVA - URBANO","2024-10-16","","29.435"
"FACATATIVA - URBANO","2024-10-15","","32.65083333"
"FACATATIVA - URBANO","2024-10-14","","22.45125"
"FACATATIVA - URBANO","2024-10-13","","17.2225"
"FACATATIVA - URBANO","2024-10-12","","31.3325"
"FACATATIVA - URBANO","2024-10-11","","30.26541667"
"FACATATIVA - URBANO","2024-10-10","","23.05333333"
"FACATATIVA - URBANO","2024-10-09","","19.52083333"
"FACATATIVA - URBANO","2024-10-08","","21.55636364"
"FACATATIVA - URBANO","2024-09-23","","13.97529412"
"FACATATIVA - URBANO","2024-09-22","","21.49083333"
"FACATATIVA - URBANO","2024-09-21","","29.72375"
"FACATATIVA - URBANO","2024-09-20","","45.26958333"
"FACATATIVA - URBANO","2024-09-19","","37.56708333"
"FACATATIVA - URBANO","2024-09-18","","38.44875"
"FACATATIVA - URBANO","2024-09-17","","29.56708333"
"FACATATIVA - URBANO","2024-09-16","","32.91666667"
"FACATATIVA - URBANO","2024-09-15","","23.86291667"
"FACATATIVA - URBANO","2024-09-14","","33.07916667"
"FACATATIVA - URBANO","2024-09-13","","33.47"
"FACATATIVA - URBANO","2024-09-12","","40.72291667"
"FACATATIVA - URBANO","2024-09-11","","39.67916667"
"FACATATIVA - URBANO","2024-09-10","","23.76875"
"FACATATIVA - URBANO","2024-09-09","","40.22125"
